entry_id,surname,institution,institution_kind,degrees
L1912-00003,ABDELLI,Grande Mosquée,islamic_institution,
L1912-00004,ABDELLI,Grande Mosquée,islamic_institution,diplome_superieur
L1912-00004,ABDELLI,Khaldounia,islamic_institution,diplome_superieur
L1912-00006,ABD UL WAHAB,Khaldounia,islamic_institution,
L1912-00007,ABEASIS,lycée Carnot,secondary_lycee,licence_droit;baccalaureat;diplome_superieur
L1912-00007,ABEASIS,Faculté de droit d'Aix-en-Provence,university_faculty,licence_droit;baccalaureat;diplome_superieur
L1912-00011,ABRIBAT,Collège Saint,secondary_college,licence_droit
L1912-00017,ADDA,lycée de Constantine,secondary_lycee,
L1912-00017,ADDA,Faculté de Médecine de Paris et de Bordeaux,university_faculty,
L1912-00018,ADDA,lycée de Constantine,secondary_lycee,
L1912-00018,ADDA,Facultés de médecine et des sciences de Bordeaux,university_faculty,
L1912-00018,ADDA,Faculté de Médecine,university_faculty,
L1912-00018,ADDA,Institut Electro-Médical,institute,
L1912-00034,AIACHI,Ecole Normale,teacher_training,licence_droit;brevet_superieur
L1912-00064,Alaoui,collège Alaoui,secondary_college,
L1912-00064,Alaoui,école normale,teacher_training,
L1912-00069,ALBERTINI,Collège d'Aiuccio,secondary_college,
L1912-00080,ALIS,école normale,teacher_training,brevet_superieur
L1912-00081,ALIX,école normale,teacher_training,brevet_superieur;certificat
L1912-00082,ALIX,lycée Carnot,secondary_lycee,agregation
L1912-00083,ALLEMAND,lycée Ampère,secondary_lycee,baccalaureat;certificat
L1912-00083,ALLEMAND,Faculté des Sciences de Lyon et de 1' enseignement colonial,university_faculty,baccalaureat;certificat
L1912-00083,ALLEMAND,Faculté des Sciences de Lyon (1900),university_faculty,baccalaureat;certificat
L1912-00083,ALLEMAND,collège de Blois,secondary_college,baccalaureat;certificat
L1912-00094,ANCONA,lycée de Trapani,secondary_lycee,
L1912-00096,ANDRÉ,lycée Carnot,secondary_lycee,baccalaureat
L1912-00096,ANDRÉ,collège de Galllac,secondary_college,baccalaureat
L1912-00096,ANDRÉ,lycée de Tunis,secondary_lycee,baccalaureat
L1912-00098,ANGELOTTI,Lycée Victor-Emmanuel,secondary_lycee,licence_droit;doctorat_droit;baccalaureat;diplome_superieur
L1912-00098,ANGELOTTI,Ecole des Hautes,other,licence_droit;doctorat_droit;baccalaureat;diplome_superieur
L1912-00099,ANGLADE,école normale,teacher_training,baccalaureat
L1912-00099,ANGLADE,lycée de Rodez,secondary_lycee,baccalaureat
L1912-00120,ARÈNE,Collège Bourbon,secondary_college,
L1912-00120,ARÈNE,lycée Mignet,secondary_lycee,
L1912-00123,ARMAND,collège d'Orange,secondary_college,baccalaureat
L1912-00128,ARNOULD,lycée Carnot,secondary_lycee,
L1912-00130,ARRAGON,lycée Henri,secondary_lycee,licence_droit;doctorat_medecine
L1912-00130,ARRAGON,Ecole de Santé,other,licence_droit;doctorat_medecine
L1912-00170,ATGER,Faculté de théologie protestante de Afontauban,university_faculty,baccalaureat
L1912-00171,ATHENOSY,lycée de Toumon,secondary_lycee,
L1912-00171,ATHENOSY,école de pharmacie,other,
L1912-00178,AUGIAS,collège Alaoui,secondary_college,diplome_superieur
L1912-00180,AUNIS,lycée Carnot,secondary_lycee,
L1912-00183,AURÈS,Ecole normale,teacher_training,brevet_superieur
L1912-00183,AURÈS,collège Alaoui,secondary_college,brevet_superieur
L1912-00186,AUVIN,lycée d'Angoulême,secondary_lycee,
L1912-00188,AUZEPY,Ecole des Mines,grande_ecole,
L1912-00193,AVIGDOR,Ecole Normale,teacher_training,brevet_superieur;certificat
L1912-00193,AVIGDOR,Institut cle,institute,brevet_superieur;certificat
L1912-00193,AVIGDOR,Institut ci-dessus,institute,brevet_superieur;certificat
L1912-00193,AVIGDOR,Ecole de Djedeïda,other,brevet_superieur;certificat
L1912-00200,AZERM,lycée de Carcasonne,secondary_lycee,baccalaureat
L1912-00204,BACCOUGHE,collège Sadiki,secondary_college,
L1912-00204,BACCOUGHE,lycée de Marseille,secondary_lycee,
L1912-00204,BACCOUGHE,lycée Charlemogne,secondary_lycee,
L1912-00204,BACCOUGHE,école de Gri-gïion,other,
L1912-00207,BACH-HAMBA,collège Sadiki,secondary_college,diplome_superieur
L1912-00211,BADER,Ecole supérieure de Guerre,grande_ecole,baccalaureat
L1912-00217,BAILLE,Ecole Normale,teacher_training,certificat
L1912-00219,BAILLY,Institut Pasteur,institute,
L1912-00228,BARBAIS,lycée du,secondary_lycee,baccalaureat
L1912-00229,BARBARAT,Ecole Polytechnique,grande_ecole,baccalaureat
L1912-00234,BARÊS,collège de la,secondary_college,baccalaureat
L1912-00234,BARÊS,lycée cle Bordeaux,secondary_lycee,baccalaureat
L1912-00235,BARET,collège de Cette,secondary_college,
L1912-00237,BARLIER,collège communal,secondary_college,
L1912-00238,BARNAY,collège S'-,secondary_college,diplome_superieur
L1912-00238,BARNAY,lycée Carnot,secondary_lycee,diplome_superieur
L1912-00239,BAROGHE,lycée de Dijon,secondary_lycee,baccalaureat
